#,BGA Name,ID,Rating
1,sorryimlikethis,86346298,2151
2,monkeydo,93896193,2056
3,Propaganda Panda,94936862,2054
4,Snowyowl Tale,96392781,2054
5,BDWSSBB,93599262,2053
6,paladin64,96859516,2051
7,Tsong Chen,94423370,2051
8,DaZaiErXia,91315943,2019
9,duyanhcao,82653384,2016
10,PectoralisM,95546867,2016
11,Aluap Tsai,95130340,2003
12,lx_xlO--lo_oQl,94358490,1996
13,LEOMessY10,95451879,1986
14,LightPTO,84702787,1985
15,tobiko11,84390486,1978
16,day001,95961187,1974
17,maxx12345,96100135,1967
18,Cat_Food,94391749,1965
19,bgtrainer,95397753,1962
20,knorpule3000,92483308,1961
21,Sanctuary L,92928466,1960
22,AD1NHO,94208849,1958
23,HighwayGoGo,94565796,1957
24,randale_und_hurra,92600865,1955
25,ALICE012,94544221,1952
26,Zeuthis,93171016,1951
27,human_light,92255273,1950
28,Please_No_Injury,92259006,1949
29,Abiath,95350940,1947
30,Hektorynka,94356861,1943
31,Faerch,92121387,1942
32,makamaru,84320942,1939
33,NowSituationChanged,96406220,1939
34,pppppdian,90883583,1939
35,e-p-e,93935990,1935
36,Gloriousbui,86523041,1934
37,Borden66,94604358,1934
38,deadpoolx01,90895955,1931
39,JDansp,94308984,1931
40,Yohan06,91158844,1931
41,portgard,83927465,1930
42,JoeÜbergang,86370496,1929
43,Bi6Wh4l3,95887182,1927
44,citazn,95426807,1925
45,Helbiii,90097742,1925
46,rudaZz,94569606,1924
47,RidingPanda,97026444,1923
48,Maro97,89005777,1922
49,Enotingyi,93975261,1921
50,alonemaster00,94208179,1919
51,demyurge,84428955,1919
52,ScientistOmni,90480114,1917
53,M_kk_k,93584459,1914
54,net395,96360878,1912
55,ryou-chan,93320528,1912
56,Fifty_grosz,85665517,1910
57,lenkuwang,95019494,1909
58,ThreadPacifist,88368905,1909
59,Chaussurettes,84370030,1908
60,Employee_427,94319519,1906
61,Hisbe4948,89578751,1906
62,a14xt7j,96661076,1904
63,Darcelmaw,93481498,1904
64,Arrigo II,85843781,1904
65,muramasa1207,96052284,1904
66,ooltje,88803089,1903
67,JohannesMoth,94534737,1903
68,linglinghu5678,95582979,1902
69,Rock_P,92912883,1901
70,f9216iolxryu,96547231,1900
71,luxusgerbiili,96442485,1897
72,Davylong,86761110,1896
73,DugongEnjoyer,95424407,1896
74,bsj551,96983837,1895
75,Echo_m,93827347,1895
76,Marintoro,86363799,1895
77,oneswordmantis,94472228,1894
78,FFFFranKiee,94587537,1893
79,BlanketAddict,90278947,1893
80,ceejaex,87105665,1892
81,skälding,94401618,1892
82,llxllx999,94184206,1892
83,esddse1,96046666,1891
84,biggetje,83994342,1891
85,Racer31,95018246,1890
86,SQR_PI,94409075,1889
87,wedidntplaytestthis,88646608,1888
88,huanggaoang,95419239,1888
89,TonyBegonia,91640596,1887
90,Malygos,84271702,1887
91,riptorius,93293963,1886
92,traine3g,95459839,1886
93,Window56,94675560,1886
94,ericsabee,83873230,1886
95,yuigahama1997,94526179,1884
96,Chandai15,93066644,1883
97,gh1101,95458811,1883
98,zhpls,90738010,1882
99,HeBwater,95274489,1881
100,Irui123,95254017,1880
101,n2309,94913747,1880
102,yayapenny,83855029,1879
103,Horst der II,89786431,1879
104,DUNE111,94999323,1877
105,jinkser333,86922317,1877
106,L X N,94847916,1874
107,CCU1211,97058663,1874
108,extrazen,95137016,1874
109,yokiesH,93108565,1874
110,yunfeiyang90,92674329,1873
111,Nuraxxt1ao,95222006,1873
112,Nemesis_zc,95688171,1873
113,ploper155,94731772,1871
114,TT_Chen,92434152,1871
115,heris89647,96208633,1870
116,Monkeyunit,7261491,1870
117,Nikach,87877982,1870
118,Cy_nthia,91221278,1870
119,Angry_SSu,93750298,1869
120,Zuzannatuba,95583970,1869
121,Grahamtasia,87821022,1869
122,RobinGuk,92499328,1869
123,46manjuu,95286106,1868
124,gamez shuffler,90749143,1868
125,kah778,96161131,1866
126,none404,95722729,1864
127,irohabito,95457821,1863
128,wqe221,96674567,1863
129,uniccoorn,94453531,1862
130,stanley654321,84030537,1860
131,thumbean,91304283,1860
132,Tharsis15731,94796767,1860
133,LXYR,96155907,1859
134,v6getab1e,95689571,1859
135,maltman,5026424,1858
136,yunge11,94315627,1858
137,UziQAQ,94604710,1855
138,NBF00,94195914,1854
139,qwerv147,96685246,1854
140,Bednarro,93508831,1852
141,jackochow,96364530,1851
142,Luciddream08,94532497,1851
143,Oo042,94514126,1848
144,Zeffirara,93007769,1848
145,LDDDDDD,94343654,1847
146,hinekoko,93813549,1847
147,Banana__Fish,95558196,1846
148,Long0103,92102371,1846
149,chenran,84315570,1846
150,XDXD233,85172205,1844
151,scalpaf,16975607,1844
152,isenguard13,93310826,1843
153,GBLbeans,91121190,1843
154,dwarvintime,94276826,1843
155,Christ Surprised,96227549,1842
156,F3nRir3,95216857,1842
157,CXBCCC,92969731,1841
158,danitake,90017334,1839
159,paul10liao,30440567,1839
160,Teh_Zealot,84017922,1839
161,Doburoi,84038972,1838
162,1998KR2019IAN,91110025,1838
163,Ritter Karottelot,95965244,1838
164,Wysnard,88746052,1838
165,QBert,2658233,1837
166,ffbb1118,94570915,1836
167,werfmark,46907093,1836
168,Laudanova,94430947,1836
169,ryanechternacht,86046658,1835
170,kenchu1980,93517940,1835
171,Kurosul,85383299,1835
172,ViciousCyclist,89020074,1834
173,Xoth2,92905462,1833
174,Stan2137,89587860,1833
175,show maaker,95192255,1833
176,gtq222,95882114,1833
177,haodashen110,94338457,1833
178,Kyshantry,84033406,1832
179,Moonstone999,95085604,1832
180,lianhaoyu,91091997,1832
181,somans,94891168,1831
182,zqgpj,93854435,1830
183,ChrisTao_0,94535476,1830
184,EFcity,94492426,1830
185,Paju_,93885418,1829
186,rockstar18,95285472,1829
187,ss-uuz,94441741,1829
188,Chan sey,94773986,1828
189,ArknovaIplay,96367198,1827
190,boomorava,94667924,1827
191,alex van,94426097,1827
192,kazuhosh,92962119,1827
193,invoke,84062956,1827
194,Tabouret2,90346973,1826
195,Vorima1,95186165,1825
196,Bin1010,92157988,1825
197,saysoTvT,95641800,1825
198,whoopsie123,96435796,1823
199,SchnittyGames,94851925,1823
200,jdmonn,95224489,1822
201,Evenkar,92853680,1822
202,WENYU0007,91542667,1821
203,perrylin,95602651,1821
204,HZLsDaddy,96708592,1819
205,Duci9,94929538,1819
206,Andrewsmile,86610938,1819
207,zitcob,85257822,1819
208,inDe_eD,96387337,1819
209,Hivaoa,84521096,1818
210,Davi Tsong,96931072,1817
211,blueboat9,92440453,1816
212,RealLife_,85011364,1814
213,AKNovaYYDS,96536721,1814
214,szddg,95203686,1814
215,Kanggu,94866706,1814
216,milo324,93328793,1814
217,JASON_BOURNE11,94774033,1814
218,Mondaycold,93198466,1813
219,eaking13,93401066,1813
220,SunYork,89979818,1813
221,kiss1326,95587815,1813
222,Fireofheaven,89347135,1813
223,margin,84635265,1813
224,shagen,88490540,1812
225,Midashood,95608713,1811
226,howwow90,85948758,1810
227,blueiceix,94676126,1810
228,zhuozhuoqihua,96326965,1810
229,gvball,88673231,1810
230,JoMiStXY,94365327,1810
231,AlexShen,91061093,1808
232,T4NGz,93993331,1808
233,kraquos,92847736,1808
234,2win9,94328850,1807
235,jinwandalaoh,95949796,1807
236,Annabellla,96734674,1807
237,JothY,84402656,1806
238,josephc00312,85134662,1806
239,Blyb,93875195,1806
240,FortuneFox2002,95497358,1806
241,Aaron Bartel,94531491,1806
242,Lichen4anke,95676183,1806
243,Tarrs,94786622,1806
244,Fabricez1,96186042,1806
245,Getelbeuse,96311501,1806
246,vasynyt banaani,84390251,1805
247,Stellere,95496754,1805
248,f beef rice,94334051,1805
249,stc12250715,84304883,1805
250,Jalum,87821396,1805
251,GiiNN,92487233,1805
252,mqx793,96004986,1805
253,Dymension,84563034,1804
254,coolsunday,84864189,1804
255,ychiku,87769238,1804
256,slamsk,3314436,1803
257,DaDaDaTou,85123309,1803
258,meduse-gourmande,96512010,1803
259,Mariko2009,95769598,1803
260,SirDragos,96002757,1802
261,cypresstrees,92136462,1802
262,hj1025,94719277,1802
263,worldpeaceeeee,94619221,1801
264,angel2121,84850475,1801
265,OscarLeo,92948972,1801
266,Barbotin,89969888,1801
267,EastBird,92972802,1801
268,Leemzz,90596488,1800
269,paperboi03,83847533,1800
270,Renan112,95881415,1800
271,Knight of Aya,95849090,1799
272,Gordon10,96275754,1799
273,K-Pistol,86138975,1799
274,huangmincheng,95418892,1799
275,weiwei9,93611355,1799
276,YouYu_Ye,92683390,1798
277,DorangKong,95076991,1798
278,derekhuo,94707613,1797
279,Mattzord,89625809,1797
280,bravetiaotiao,92309466,1797
281,MrMB,84379094,1797
282,TiamatUA,84277005,1797
283,Ex_Swiftie,95501713,1796
284,Miku39miku39,96866736,1796
285,Sigmar Gabriel,95749984,1795
286,fgffsgs,92566177,1795
287,LorraineRC,88707360,1795
288,razriv4tel,93208468,1795
289,hipalmer,92971061,1795
290,Willjo22,88982662,1795
291,Hitman 47,95535212,1795
292,GeoPiglet,93802295,1794
293,vikiyV,94925258,1793
294,dyc601,96807897,1793
295,cby379,96360876,1793
296,Tawanda21,93049181,1793
297,ujhns,94037448,1792
298,sweet_pirogok,95418883,1792
299,OwOvOwO,89644128,1792
300,one_more_try_plees,95887845,1791
301,Sai Lan Vy,96008233,1791
302,whutqiufeng,85267995,1790
303,Joseph1198,85197151,1790
304,Szynki Sery itp,97033166,1789
305,dmannaioni,94540164,1789
306,93943846,95620055,1788
307,combocosmo,93614841,1788
308,Flipper007,94483287,1788
309,JoeyVong,94657280,1787
310,Lucasbiao,96656609,1786
311,mikechike,85159195,1786
312,anonaddict,91267239,1786
313,Mokam112,88941313,1786
314,PromiseIAN,92440452,1786
315,yauqisn,95500028,1785
316,djl07,94445979,1785
317,BilBob171178,95876163,1785
318,El_Hunk,90571252,1785
319,ffbhhsn,96777136,1785
320,MKTTKM,96779325,1785
321,shinyonghyun,95582827,1784
322,23WithoutQ,96218552,1784
323,sixriver1,95086205,1784
324,FalconPunch511,95069740,1784
325,Lisu192,94120918,1784
326,LeoTheLion,47631766,1783
327,zladner7,96360599,1783
328,FiloDePicis,89660444,1783
329,bboss10,95293409,1783
330,Gugguru,94601931,1783
331,Doorak,83903896,1782
332,kaldarr,85214664,1782
333,AvaX,84958413,1782
334,Glassye,95110576,1782
335,goeasyonthisnoob,96145214,1781
336,Krokmew,92113014,1781
337,StemmyNug,86547447,1781
338,taobai19,95586620,1781
339,million happy,96840777,1781
340,woowoo01,94077674,1780
341,Koudee,84640241,1780
342,stofflappen,95173563,1780
343,tianmingv,96384185,1779
344,YRXL,95549442,1779
345,Gochitaro,94294777,1779
346,kcm341,95940369,1778
347,nobody814,93561127,1778
348,BHYO,96049356,1778
349,Thomas Hougaard,89574035,1777
350,jan dc,86016907,1777
351,zc2833,96554512,1776
352,wanpiqiu123,91549857,1776
353,sadan123,94072762,1776
354,TheEarn,96002528,1776
355,N3EE,95613539,1775
356,shakers,93503297,1775
357,wumian233,96160748,1775
358,yuandong,94355554,1774
359,brangbrang,93565062,1774
360,Matt0623,92777397,1774
361,TundarStonehead,95636136,1774
362,auznjx,85060521,1774
363,Merlinjz,95048086,1774
364,SzyBek,95583069,1773
365,itskins,94095093,1773
366,COOList,85288480,1773
367,Sir Bobs,90649070,1773
368,keevl3i,96791868,1773
369,lengjie1234,95320919,1772
370,jhuano,95591308,1772
371,TheFlyingArcher,94531650,1772
372,Rymor27,95151558,1772
373,csong99,94065245,1772
374,Midashoood,96865593,1772
375,Xlier,84192972,1771
376,gua gua gua,91092202,1771
377,Cakmak,89728233,1771
378,calculation,96340778,1771
379,bribribrie,96032319,1770
380,Rysiuvg,85715505,1770
381,apn457,96807852,1770
382,starkrush,90435237,1769
383,Kikof289,96835607,1769
384,DawnWhisper,92383957,1769
385,Zooo321,96841977,1769
386,Johnsoncccc,94634063,1769
387,Sheldbarn,85239067,1769
388,Window114,94851126,1769
389,leaf_PKU,96409949,1768
390,cxxkxxm,91811048,1768
391,harryinconundrumkane,96571972,1768
392,Kawnstie,95032053,1768
393,Dubbbb,95081305,1768
394,Bossa_Nova,93119676,1767
395,Tebal,88880642,1767
396,--blink--,94405559,1767
397,aiboyou,94338017,1767
398,jjbond,95442065,1766
399,JohnnyWin,94847523,1766
400,irtranquil,30576691,1766
401,dekumelondesu,96921184,1766
402,Nocoodolf,95680752,1765
403,khoinm,91418243,1764
404,Pony Smith,96726829,1764
405,demian83,33342302,1763
406,Philo121,86919062,1763
407,Sasheme,94937683,1763
408,drj247,96341023,1763
409,leiacats,93307784,1763
410,yp1244,95327691,1763
411,gtq2,96971334,1763
412,TopTierReindeer,88288744,1763
413,on_maway,85368013,1763
414,tehimmortalking,94805538,1762
415,26th_element,91821818,1762
416,Fojtu,84521371,1762
417,Yuno20220502,96222108,1762
418,NNEEEE,96521242,1762
419,birdmanbirds,95758101,1762
420,allredx2,94444918,1762
421,FlowwYote,94296840,1761
