#,BGA Name,ID,Rating
1,What How,97462972,2208
2,duyanhcao,82653384,2106
3,Chen233,89148114,2106
4,LXYR,96155907,2102
5,t3734920,98282400,2099
6,Window56,94675560,2096
7,Vespera77,98731092,2086
8,sorryimlikethis,86346298,2079
9,human_light,92255273,2079
10,fqk003,98066506,2065
11,JDansp,94308984,2052
12,fgffsgs,92566177,2051
13,electrolled,95115352,2044
14,Helbiii,90097742,2039
15,extrazen,95137016,2037
16,MlNG,86727668,2028
17,hardtounderstand,95740428,2026
18,Duci9,94929538,2022
19,koishi1245,97072295,2020
20,ViciousCyclist,89020074,2018
21,The constant,96836394,2005
22,Snowyowl Tale,96392781,2004
23,MortisVD,86303012,2003
24,traine3g,95459839,2001
25,kakaoshkin,92098712,2000
26,Sa-tou,91540369,1999
27,ceobo,95771863,1996
28,AKNovaYYDS,96536721,1992
29,QBert,2658233,1983
30,MYGO SOYO,97443993,1981
31,cheiru,98086505,1981
32,portgard,83927465,1980
33,derekhuo,94707613,1979
34,Propaganda Panda,94936862,1978
35,MonkeyinAround,96964879,1972
36,murong-xue,97924370,1972
37,CXWFractalux,98091092,1971
38,Faerch,92121387,1967
39,qizixi123,96380443,1966
40,vuk246,97335860,1965
41,QuantumEagle,97745256,1964
42,Sunny369,84768502,1964
43,nifty-clownfish181,98798912,1962
44,Chewwy,85852390,1960
45,fished my wish,97645154,1957
46,vinny_boy,93730884,1953
47,perrylin,95602651,1950
48,Koudee,84640241,1949
49,Pelirrojo1711,92166550,1947
50,serpentinite,98915321,1947
51,saninecat,95631894,1947
52,bwj059,96013334,1947
53,ceejaex,87105665,1946
54,sea turtle tank,95908670,1946
55,deeezz,97144181,1946
56,Targetttt,95030461,1946
57,uff571,98611499,1945
58,kamikakai,96698847,1944
59,CCU1211,97058663,1939
60,Lucas-Tariq,98558718,1939
61,ice wizard,91882672,1939
62,HappyChild,96390330,1938
63,gh1101,95458811,1937
64,totally_not_dave,92631906,1937
65,SunbathingEmu,96032319,1936
66,SilkyTrealawson,98076232,1934
67,yz97,94020257,1931
68,zhpls,90738010,1931
69,BlanketAddict,90278947,1928
70,653862455,97498068,1927
71,day001,95961187,1926
72,Grahamtasia,87821022,1925
73,ysl0310,93151535,1924
74,eager-panda583,98147246,1924
75,Annabellla,96734674,1923
76,New Zealand fur seal,97784313,1923
77,AtarUltio,97419993,1922
78,Gordon10,96275754,1922
79,SnubEnjoyer,98880953,1921
80,BaseSig,3936472,1921
81,coolsunday,84864189,1921
82,jingji007,94306177,1921
83,Cat_Food,94391749,1920
84,skälding,94401618,1920
85,Yohan06,91158844,1919
86,brewmaster12,89599421,1919
87,Fifty_grosz,85665517,1919
88,shakers,93503297,1919
89,Just_one_time,97603160,1918
90,emu456,97601075,1917
91,komono_425,98016412,1917
92,HLE Gumayusi,98762124,1917
93,general_panda,92073775,1916
94,stanley654321,84030537,1916
95,Superjulo,92299024,1915
96,BraveCat123,95763757,1915
97,IanaPiana,95144027,1915
98,vesper-,98026638,1915
99,zaky26,95892885,1914
100,EvoIuti0n,96146124,1913
101,Zuzannatuba,95583970,1911
102,Aza_one,96984075,1907
103,nacl123,93041465,1907
104,Abiath,95350940,1906
105,magicfeng37,94290713,1905
106,MaximumVelocity,91975055,1905
107,sushimekabu1,97555423,1904
108,BS_,94623704,1904
109,Tharsis15731,94796767,1903
110,Pengxiangoumian,96283195,1903
111,Teh_Zealot,84017922,1902
112,diabloli,37382141,1902
113,ooltje,88803089,1902
114,icefacez,95424534,1902
115,nimoac,84658502,1902
116,liyiting23,26209302,1902
117,CatNONO,98863864,1901
118,DugongEnjoyer,95424407,1901
119,SirDragos,96002757,1901
120,none404,95722729,1900
121,HZLsDaddy,96708592,1900
122,Andrewsmile,86610938,1899
123,watermelon5730,96094578,1897
124,VerdantRhythm,97968113,1895
125,Gunor,96919064,1895
126,BraveChicken95,96394580,1893
127,eatbamboo,97776633,1893
128,Crickert,97815705,1892
129,sareyu0753,95056599,1891
130,Nic11111112,89389346,1891
131,Footloop,90899183,1890
132,PectoralisM,95546867,1890
133,Yy0712,94448692,1889
134,Lucasbiao,96656609,1888
135,relaxed-cat747,98758528,1888
136,Milowitt,96135209,1887
137,Cheese - 4000,90719758,1886
138,quickskillscarlos,95690096,1886
139,sroconno,96754790,1885
140,yuany0712,97647301,1885
141,Angry_SSu,93750298,1885
142,Raisefine,88205322,1885
143,YouYu_Ye,92683390,1884
144,LasagnaEater,98317590,1884
145,leaf_PKU,96409949,1883
146,Merlinjz,95048086,1882
147,Long0103,92102371,1881
148,Hisbe4948,89578751,1881
149,xhsbhh,95620771,1880
150,Boom Baboon,98705146,1879
151,Mercury321,95333345,1879
152,wedidntplaytestthis,88646608,1879
153,mshjs,98087253,1879
154,Sanctuary L,92928466,1878
155,l t y,94064771,1878
156,yanyulou,98788343,1877
157,pinkex239,95085497,1877
158,mce009,98462845,1876
159,yunfeiyang90,92674329,1875
160,greed_is_good,98634951,1875
161,DaZaiErXia,91315943,1875
162,tmkk,96613779,1874
163,lanlanwww,96669088,1874
164,CHOUCROUTOMAN,98089147,1874
165,NemesisLD,96388128,1874
166,zenkyleD,84321999,1872
167,tamamushiiro,97487576,1871
168,M_kk_k,93584459,1871
169,yanyusansheng,98334121,1870
170,werfmark,46907093,1870
171,alfinho16,95977802,1869
172,ilenenessserensng673,98608654,1869
173,umegf,84727173,1869
174,trinity111,96358825,1869
175,Lacii91,89285386,1868
176,msinohdd,97620751,1868
177,knorpule3000,92483308,1868
178,t4xjxfpkgnuf,98696192,1868
179,Ilyas_aut33,93004469,1867
180,affectionate-llam223,97998455,1867
181,YBreen,96561950,1867
182,Huawei ceo,97066121,1867
183,cun guang,97488087,1865
184,Sakura0001,98546131,1865
185,Blackbar Triggerfish,98325650,1864
186,Grianos,96788517,1864
187,mqx793,96004986,1864
188,torfiss,97157634,1863
189,1321094437,97019193,1863
190,ArkLover,94358443,1863
191,ChrisTao_0,94535476,1862
192,Sicario9527,92350084,1862
193,kaobaozi,98082707,1862
194,pxdpxd,96516430,1861
195,Window114,94851126,1861
196,melkor123,96799639,1861
197,Fool Klein,92425274,1861
198,wangdaishu,96870803,1860
199,wcy710,91694654,1860
200,JohnnyWin,94847523,1860
201,yakku99,95727905,1859
202,ah_lcg,97616549,1859
203,ykakai,98001580,1857
204,makamaru,84320942,1857
205,ScientistOmni,90480114,1855
206,McRolando,95736503,1854
207,AWu,83864699,1854
208,justparente,94656232,1853
209,YQ-utopia,96597406,1851
210,lamawurm,95860033,1851
211,Andydoorc,94492682,1851
212,wanan1991,97679017,1851
213,B_I_T_S,97048616,1850
214,kmf856,98759287,1850
215,Dagstaff,94134337,1850
216,AdamHorton,83877945,1850
217,puzzlepuzzle,87206981,1850
218,Kyshantry,84033406,1849
219,M a s q u e r a d e,96360250,1848
220,Angry Huan,98382299,1848
221,3Dragons,95425150,1847
222,Midashood,95608713,1847
223,077cpw,97177585,1847
224,neonlight07,93623131,1847
225,Skurata,95562912,1846
226,ThreadPacifist,88368905,1846
227,HubrisRakarth,85637820,1846
228,jackochow,96364530,1845
229,whutqiufeng,85267995,1845
230,The Aristocrat,85027110,1845
231,trollivar,95581551,1845
232,Doburoi,84038972,1844
233,yitu1,96557743,1844
234,Berthelsen,34368722,1844
235,rudaZz,94569606,1844
236,Rock_P,92912883,1844
237,jiuxiangdian,97771136,1843
238,Mallaki,98612857,1843
239,DerTodgeweihte,98088756,1843
240,Hivaoa,84521096,1842
241,XodKaniom,85309072,1842
242,shooooooooooot,95094577,1842
243,JustKinsilm,96622138,1841
244,GiiNN,92487233,1841
245,Paju_,93885418,1840
246,yuxuanguo1999,97903627,1840
247,bgtrainer,95397753,1839
248,hoodmidas,96505175,1839
249,Sir Fluffy,86344862,1839
250,SimpleMuffin,98341606,1838
251,LDDDDDD,94343654,1838
252,csong99,94065245,1837
253,jdmonn,95224489,1837
254,gryteklut,98459851,1837
255,Blyb,93875195,1836
256,CafeOle52,95765557,1836
257,HY2025,98555890,1836
258,GenAaro,93702040,1836
259,Guoguoer,98184498,1836
260,The cat fish,97180419,1836
261,gergi,85599429,1835
262,esddse1,96046666,1835
263,007Br,90161849,1835
264,strangekoalaa,98757972,1834
265,Krokmew,92113014,1834
266,AiMisteria,97380173,1833
267,LeeCloud,88351661,1833
268,tbu3k,93311473,1833
269,chelseafanboy710,98323297,1833
270,drinklelecha,97062209,1833
271,Viciow,96598822,1831
272,Luciddream08,94532497,1831
273,jan dc,86016907,1831
274,Quinlan1,95676482,1831
275,NoooobPlayer,93086420,1831
276,nifty-seahorse221,97164755,1830
277,bentudiaxue,91198519,1830
278,adysk,84503166,1830
279,Midaaaas,96932679,1830
280,Jay1110,89491942,1829
281,alxsmrs,96264435,1829
282,Yuno20220502,96222108,1829
283,n2309,94913747,1829
284,nxvnadia,97652294,1829
285,nj48,92750059,1829
286,unt376,98554321,1829
287,demyurge,84428955,1828
288,Kawasaki2933,97517850,1828
289,geniuslty,92445507,1827
290,Lichen4anke,95676183,1826
291,bgk_zero,90664461,1825
292,chrnzhihan2020,96316803,1824
293,2CP_Worker,98454399,1824
294,HappyClam73,96071015,1823
295,GreenDotes,98254030,1823
296,Mostrom,94827315,1822
297,clumsy fish,98691317,1822
298,AlexSK06,96081266,1821
299,B4astmode,92737456,1821
300,chenran,84315570,1821
301,zackray79362,98530794,1821
302,stevenlhyeung,96715015,1820
303,lidamiao,94351981,1820
304,citazn,95426807,1820
305,hughieg1230,92970688,1820
306,Christ Surprised,96227549,1820
307,A fresh start,99022849,1820
308,jjeeeeeeett,95848775,1819
