#,BGA Name,Rating
1,Tsong Chen,2169
2,adjective-animalnum,2113
3,Propaganda Panda,2105
4,piggy slayer,2096
5,monkeydo,2081
6,sorryimlikethis,2071
7,BlanketAddict,2060
8,Wakaba Mutsumi,2056
9,extrazen,2046
10,KingLang,2039
11,Window56,2036
12,thumbean,2022
13,_Morgl_,2019
14,rudaZz,2018
15,pxdpxd,2013
16,Teh_Zealot,2010
17,electrolled,2008
18,skälding,2008
19,Lucasbiao,2007
20,GotsC,2005
21,The constant,2001
22,ceejaex,2000
23,goore,1998
24,QBert,1995
25,hardtounderstand,1995
26,SnubEnjoyer,1994
27,ykakai,1992
28,vuk246,1990
29,kanamiQ,1990
30,Emu At Dusk,1987
31,Boom Baboon,1987
32,Vios1,1986
33,duyanhcao,1985
34,Quantum Eagle,1984
35,trusting-seagull275,1982
36,Faerch,1978
37,NeighborPeterParker,1978
38,ceobo,1977
39,portgard,1977
40,SilkyTrealawson,1970
41,Chen233,1969
42,imma do a swim,1969
43,riptorius,1964
44,jackochow,1962
45,GenAaro,1961
46,Blyb,1960
47,sailfish19,1960
48,HappyCapybara065,1960
49,Viciow,1955
50,Vorima1,1955
51,demyurge,1952
52,Fifty_grosz,1950
53,Long0103,1950
54,human_light,1949
55,SimpleMuffin,1949
56,BS_,1948
57,ViciousCyclist,1947
58,Vault of Stars,1947
59,BaseSig,1946
60,TheNightMonkey,1946
61,LasagnaEater,1946
62,Evanescent,1944
63,3Dragons,1941
64,greed_is_good,1940
65,wuxuanwuyan,1939
66,AtarUltio,1938
67,rune_2002,1938
68,Pelirrojo1711,1937
69,Philo12,1936
70,sroconno,1936
71,bgtrainer,1935
72,lowexpectation,1935
73,noconstruction,1934
74,Yuno20220502,1931
75,Midashoood,1931
76,taobaixx,1930
77,mshjs,1930
78,Amaori Renako,1930
79,Khrikuli Is Robbed,1929
80,DugongEnjoyer,1929
81,cardshard,1927
82,Gunor,1925
83,ian0329,1923
84,vyr972,1923
85,hxf9762,1921
86,werfmark,1919
87,fudahuang,1919
88,mmuye,1918
89,bentudiaxue,1918
90,Annabellla,1918
91,MRCS1NG1L1NG,1917
92,gryteklut,1917
93,Te Araroa,1916
94,Jardine05,1916
95,icefacez,1916
96,Laaan,1915
97,nacl123,1915
98,parrotlover,1914
99,zaky26,1914
100,elephant542,1913
