#,BGA Name,ID,Rating
1,Bsyragb,95699396,2158
2,Darcelmaw,93481498,2117
3,JDansp,94308984,2057
4,Sanctuary L,92928466,2043
5,dwarvintime,94276826,2040
6,sorryimlikethis,86346298,2036
7,Duci9,94929538,2032
8,electrolled,95115352,2031
9,nikonikosmile,93049325,2028
10,daipengyou,84382806,2027
11,nikoniiiii,96036684,2027
12,human_light,92255273,2012
13,nimoac,84658502,2000
14,chun121,96103223,1998
15,wanggt,94206331,1996
16,Tsong Chen,94423370,1991
17,BDWSSBB,93599262,1990
18,Brian Boitano,94409684,1980
19,duyanhcao,82653384,1968
20,rudaZz,94569606,1967
21,umegf,84727173,1965
22,simmadim,86220185,1961
23,asdswsxs,88983874,1956
24,Biubangboom,93368684,1955
25,lianhaoyu,91091997,1953
26,Aluap Tsai,95130340,1951
27,seyjen,93810961,1948
28,yunge11,94315627,1947
29,kanna271828,90795876,1947
30,Nemesis_zc,95688171,1943
31,Squid2Boogaloo,95494505,1942
32,OldOstrich,95028235,1939
33,e-p-e,93935990,1938
34,Dr4gonWu,93140233,1935
35,M_kk_k,93584459,1934
36,Laudanova,94430947,1932
37,yokiesH,93108565,1932
38,hardtounderstand,95740428,1924
39,Gamingpine,90000970,1924
40,portgard,83927465,1922
41,justplaynosay1,93937213,1922
42,Doburoi,84038972,1917
43,StromSpirit,93992210,1916
44,ViciousCyclist,89020074,1913
45,lx_xlO--lo_oQl,94358490,1911
46,adysk,84503166,1911
47,T4NGz,93993331,1910
48,chengzi9898,95625344,1908
49,Guerilla Gorilla,95840729,1907
50,DootGongEnjoyer,95821820,1907
51,Zuzannatuba,95583970,1905
52,Ritter Karottelot,95965244,1904
53,LightPTO,84702787,1903
54,AdamHorton,83877945,1901
55,Little Black Rabbit,95458606,1901
56,Wolf Ren,92800174,1901
57,SirL,87238474,1900
58,citazn,95426807,1899
59,potato mines,96037337,1898
60,Joooooshuee,88237026,1897
61,oneswordmantis,94472228,1896
62,joon0sung,90321781,1895
63,yunfeiyang90,92674329,1894
64,Szymke,96179100,1894
65,PectoralisM,95546867,1893
66,ploper155,94731772,1893
67,Hongryfox,95920194,1891
68,Leon Jing,95678978,1891
69,LEOMessY10,95451879,1891
70,Enotingyi,93975261,1890
71,dmannaioni,94540164,1890
72,Kyshantry,84033406,1889
73,ss-uuz,94441741,1889
74,worldpeaceeeee,94619221,1888
75,Linox1206,85576217,1887
76,uvw025,95877544,1887
77,makamaru,84320942,1886
78,ichinoseharu,93147862,1883
79,riptorius,93293963,1882
80,EEEch0es,94773861,1879
81,dreamreader,91088252,1878
82,coolsunday,84864189,1877
83,ArtEntre,88207269,1877
84,SunYork,89979818,1875
85,DugongEnjoyer,95424407,1875
86,nikozzhw,95277568,1874
87,halailai,95753746,1873
88,gtq222,95882114,1873
89,Nemoses,90842825,1872
90,Zheng,30574650,1872
91,boomorava,94667924,1871
92,ThreadPacifist,88368905,1871
93,Bushin malvado,95373991,1870
94,bartvk1,94117069,1869
95,amitlevi45,94077627,1869
96,Davylong,86761110,1868
97,Propaganda Panda,94936862,1868
98,huanggaoang,95419239,1868
99,dongdongz,93101083,1866
100,Tharsis15731,94796767,1865
101,blueboat9,92440453,1865
102,SQR_PI,94409075,1864
103,MajimaOne,91858253,1863
104,hardyzhao,92147740,1863
105,biggetje,83994342,1861
106,Golven,87614886,1861
107,ScientistOmni,90480114,1858
108,shengxiao,95453044,1858
109,MONPQ,94421739,1856
110,HeBwater,95274489,1856
111,danitake,90017334,1856
112,KuvjanT,95284929,1856
113,saki7788,93586059,1856
114,GBaoJunewZ,94461824,1855
115,TonyBegonia,91640596,1855
116,Lisu192,94120918,1854
117,giraffe_hannah,94077672,1854
118,tengjiaoyusb,95963694,1854
119,hj1025,94719277,1854
120,Sa-tou,91540369,1853
121,yuigahama1997,94526179,1853
122,PipSqu3ak,94828315,1853
123,QBert,2658233,1852
124,Yorshka_02,91395491,1852
125,Paju_,93885418,1850
126,Stan2137,89587860,1850
127,Yohan06,91158844,1849
128,DaDaDaTou,85123309,1848
129,f beef rice,94334051,1847
130,gamez shuffler,90749143,1845
131,Superbowl Peafowl,93599764,1844
132,007Br,90161849,1843
133,Merlinjz,95048086,1842
134,1998KR2019IAN,91110025,1841
135,banbeijiu,95382085,1841
136,ALICE012,94544221,1841
137,Willjo22,88982662,1839
138,invoke,84062956,1839
139,sunliang,95077026,1839
140,moromi115,87165810,1839
141,ceejaex,87105665,1839
142,chomkrengkrai,84432648,1838
143,Irui123,95254017,1838
144,Daanotkle,96083604,1838
145,lha123com,30652433,1837
146,Mikumiku39miku,94096869,1837
147,CrazyPenguinGUAN,93563465,1837
148,Thornvalley,93322704,1837
149,BaseSig,3936472,1836
150,sssTea,84316658,1836
151,AloneInTheRain,93696406,1835
152,jan dc,86016907,1835
153,Tabouret2,90346973,1835
154,xiaopengyou,85072549,1834
155,pipi8976,83919399,1833
156,hipalmer,92971061,1831
157,UziQAQ,94604710,1830
158,Mostrom,94827315,1830
159,rezett,85447129,1830
160,forever_dream1,95983926,1829
161,njk670,96161124,1829
162,TiamatUA,84277005,1828
163,Blyb,93875195,1828
164,BlanketAddict,90278947,1827
165,calvaria,84401152,1827
166,DorangKong,95076991,1826
167,strange radish,92879266,1826
168,-_______________-,91255895,1826
169,bilibalaboom,91795917,1826
170,arf999,83933747,1825
171,ttbb,94350227,1824
172,2win9,94328850,1824
173,Renan112,95881415,1824
174,Momo_Didi,84967593,1823
175,Emu4Life,96127007,1823
176,KongDoRang,95823664,1822
177,GiiNN,92487233,1822
178,v6getab1e,95689571,1822
179,Matt0623,92777397,1822
180,Luciddream08,94532497,1821
181,SlyofJuly,95774619,1821
182,Kawnstie,95032053,1820
183,davidb9,84441130,1820
184,tobiko11,84390486,1819
185,CXBCCC,92969731,1819
186,YatoroYu,95248834,1819
187,gua gua gua,91092202,1819
188,SaiG0D,84746846,1818
189,RobinGuk,92499328,1818
190,Anti-sunshine,94444104,1817
191,Faerch,92121387,1817
192,seriously antisocial,94296684,1816
193,Kunizial,94991389,1816
194,wedidntplaytestthis,88646608,1816
195,Window114,94851126,1816
