#,BGA Name,Rating
1,broken-winged angel,2188
2,CXWFractalux,2093
3,extrazen,2076
4,gryteklut,2063
5,sorryimlikethis,2060
6,ah_lcg,2039
7,Fool Klein,2038
8,monkeydo,2035
9,DugongEnjoyer,2033
10,The cat fish,2022
11,Iris_catf,2019
12,Abiath,2015
13,LasagnaEater,2015
14,im only luck,2014
15,What How,2010
16,riptorius,2009
17,electrolled,2008
18,Baboude,2007
19,New Zealand fur seal,2006
20,Kawasaki2933,2005
21,Wakaba Mutsumi,2004
22,JDansp,2001
23,vardy7,2001
24,duyanhcao,2000
25,HZLsDaddy,2000
26,changpei98,1989
27,general_panda,1989
28,Pengxiangoumian,1982
29,emu456,1975
30,one_more_try_plees,1968
31,lanshalu,1964
32,werfmark,1961
33,l t y,1961
34,hazerrs,1961
35,wcy710,1956
36,traine3g,1954
37,Duci9,1953
38,ViciousCyclist,1953
39,randale_und_hurra,1953
40,Midashood,1953
41,SilexSaxum,1952
42,Zuzannatuba,1952
43,howwow90,1951
44,Agonizon,1951
45,GenAaro,1950
46,Tsong Chen,1950
47,wenzhizhi,1950
48,ComplexMuffin,1947
49,Just_one_time,1947
50,zhpls,1946
51,Xuan-li,1945
52,The constant,1944
53,yakku99,1943
54,applezhuzhu,1941
55,hardtounderstand,1940
56,nehzumi,1939
57,skälding,1938
58,Window56,1937
59,watermelon5730,1937
60,vibrant99,1936
61,vesper-,1935
62,McRolando,1934
63,Moc king Jay,1933
64,SYSXD,1933
65,QBert,1933
66,Rock_P,1933
67,pppppdian,1932
68,fuyc,1928
69,Mondaycold,1927
70,Cat_Food,1927
71,IanaPiana,1926
72,Sir Humphrey Appleby,1925
73,Ghost____9527,1925
74,Target star,1924
75,MlNG,1922
76,Faerch,1920
77,nengbengbear,1920
78,zht861,1919
79,hxf9762,1918
80,deeezz,1918
81,Gunor,1918
82,wenxin0409,1918
83,Sash_L,1917
84,stevenlhyeung,1914
85,gh1101,1912
86,Chen233,1912
87,songdeze,1910
88,Zheng,1908
89,077cpw,1907
90,fished my wish,1907
91,Cheese - 4000,1907
92,HZLSSB,1905
93,boardgamedude2,1905
94,tmkk,1904
95,EEEch0es,1904
96,fgffsgs,1904
97,tobiko11,1904
98,CHOUCROUTOMAN,1903
99,AKNovaYYDS,1903
100,Gordon10,1903
