#,BGA Name,ID,Rating
1,Tsong Chen,94423370,2144
2,dwarvintime,94276826,2070
3,LeovoeL,95661549,2055
4,Propaganda Panda,94936862,2037
5,Brian Boitano,94409684,2032
6,TonyBegonia,91640596,2028
7,nimoac,84658502,2026
8,JDansp,94308984,2025
9,lx_xlO--lo_oQl,94358490,2021
10,Darcelmaw,93481498,2019
11,Biubangboom,93368684,2013
12,duyanhcao,82653384,2004
13,simmadim,86220185,2004
14,ALICE012,94544221,2003
15,kimssk05,88340590,1993
16,electrolled,95115352,1992
17,BDWSSBB,93599262,1992
18,Window56,94675560,1986
19,monkeydo,93896193,1981
20,M_kk_k,93584459,1980
21,sorryimlikethis,86346298,1978
22,portgard,83927465,1965
23,human_light,92255273,1962
24,TiamatUA,84277005,1959
25,JoeÜbergang,86370496,1954
26,Duci9,94929538,1951
27,fuyc,94109191,1949
28,Faerch,92121387,1945
29,AD1NHO,94208849,1940
30,ypz840805,84785627,1939
31,onedaytour,84640549,1938
32,-_______________-,91255895,1937
33,gege2,84965385,1932
34,BlanketAddict,90278947,1924
35,hardtounderstand,95740428,1919
36,LoonyNo7,94266999,1916
37,invoke,84062956,1913
38,Kunizial,94991389,1910
39,yunge11,94315627,1909
40,ss-uuz,94441741,1909
41,quairak,95754509,1907
42,lalalawliet,95052434,1907
43,BraveLove,94433817,1905
44,Enotingyi,93975261,1902
45,EEEch0es,94773861,1899
46,Triplepigs,85410533,1898
47,Tharsis15731,94796767,1898
48,Dymension,84563034,1898
49,UziQAQ,94604710,1894
50,LEOMessY10,95451879,1893
51,SQR_PI,94409075,1893
52,MadCassowary,86539803,1893
53,Laudanova,94430947,1892
54,tamesizeya,4039870,1890
55,FalconPunch511,95069740,1888
56,CnPlayer,91399941,1885
57,Employee_427,94319519,1884
58,oneswordmantis,94472228,1883
59,Gloriousbui,86523041,1883
60,neonlight07,93623131,1881
61,TrafalLee,94826025,1881
62,ghost dad,94770498,1881
63,giraffe_hannah,94077672,1880
64,yunfeiyang90,92674329,1879
65,cloney,92716157,1878
66,yokiesH,93108565,1877
67,rockstar18,95285472,1875
68,Please_No_Injury,92259006,1874
69,Sa-tou,91540369,1871
70,answerQAQ,95185410,1871
71,Yorshka_02,91395491,1871
72,NoFry,94790613,1871
73,ryou-chan,93320528,1870
74,ylathor,91490606,1870
75,Zeuthis,93171016,1870
76,nobody814,93561127,1867
77,rune_2002,84575319,1867
78,lidamiao2,95082163,1867
79,beepzop,88424815,1867
80,Preawwy,93579876,1867
81,2win9,94328850,1864
82,StromSpirit,93992210,1864
83,gugu764835421,94823201,1864
84,yuigahama1997,94526179,1863
85,OldOstrich,95028235,1863
86,youl07,93273383,1863
87,riptorius,93293963,1862
88,COOList,85288480,1861
89,Lisu192,94120918,1861
90,chuanliu,95349251,1858
91,randale_und_hurra,92600865,1857
92,adysk,84503166,1855
93,umegf,84727173,1854
94,coolsunday,84864189,1854
95,BStroucken,85946720,1854
96,Bin1010,92157988,1853
97,Davylong,86761110,1853
98,pjtseng,89987611,1853
99,Melo763,85354585,1853
100,SunYork,89979818,1852
101,FFGGRM,85439539,1852
102,ericsabee,83873230,1851
103,Ngel2,95114102,1851
104,joon0sung,90321781,1849
105,Eugene Chen,95740457,1849
106,spider-ham,94582564,1848
107,Yohan06,91158844,1848
108,PipSqu3ak,94828315,1848
109,lachero,85316478,1848
110,CrazyPenguinGUAN,93563465,1846
111,whutqiufeng,85267995,1846
112,lidamiao,94351981,1846
113,amitlevi45,94077627,1846
114,danitake,90017334,1846
115,Gillis Grafström,95793577,1845
116,ngtriant,88282419,1844
117,Linkangel,92438556,1843
118,RoyceLin,84152435,1840
119,Manrick,95089440,1839
120,Kaite0418,95451579,1839
121,GenshinStart,94677195,1839
122,f beef rice,94334051,1838
123,dreamreader,91088252,1836
124,xrljjbq,95528356,1835
125,biggetje,83994342,1835
126,davidb9,84441130,1834
127,chouman1986,87385179,1834
128,aiboyou,94338017,1834
129,SyM__,93394373,1834
130,TinyH,88485228,1834
131,buldozer,85270584,1833
132,anonaddict,91267239,1833
133,GBaoJunewZ,94461824,1832
134,Stan2137,89587860,1832
135,Watcher7,95291370,1832
136,demyurge,84428955,1830
137,BaseSig,3936472,1830
138,Willjo22,88982662,1829
139,Wolf Ren,92800174,1829
140,Superbowl Peafowl,93599764,1827
141,Torisno,95706234,1827
142,Marssssssssss,94049866,1826
143,STHaus,94573431,1826
144,withoutx,94342222,1826
145,randomronny974,92354598,1825
146,uniccoorn,94453531,1825
147,matan,85243514,1825
148,sssTea,84316658,1825
149,Bushin malvado,95373991,1824
150,robeaf,88464580,1823
151,beginner002,95222733,1823
152,nengbengbear,94534456,1822
153,Joe Orser,94983628,1821
154,Hashimoto__kanna,94069236,1821
155,17yanhuo,95724470,1821
156,LDDDDDD,94343654,1821
157,Hesriana,93111383,1821
158,Lany2000,94949884,1821
159,Squid2Boogaloo,95494505,1820
160,Grim Nova,92733736,1820
161,LightPTO,84702787,1820
162,Nuraxxt1ao,95222006,1820
163,gloom and doom,93495740,1820
164,Tap3D,94625083,1820
165,jiaxiaoxu,84950270,1819
166,Louxor-ya,92739783,1819
167,DawnWhisper,92383957,1817
168,krysakv,87198331,1815
169,n2309,94913747,1815
170,wudiligoudan,92622130,1815
171,determinants,95737686,1814
172,Lint_an,94963604,1814
173,cardshard,88843196,1814
174,drsteelhammer,88837427,1814
175,bytr,85322625,1813
176,Tebal,88880642,1811
177,zsnbdbx,94158316,1811
178,YouYu_Ye,92683390,1810
179,MerongE,85021984,1810
180,kenchu1980,93517940,1809
181,Robin,83991513,1808
182,isenguard13,93310826,1808
183,Darkness-,91283753,1808
184,ntjj3,94073311,1806
185,Megakill_TT,95238922,1806
186,MalyFarciarz,12490809,1806
187,citazn,95426807,1805
188,justlikett,84373025,1805
189,gold-monkey,94609195,1805
190,kaikulimu,94825660,1805
191,BGplayerGz,94445522,1805
192,LogozGaming,94626601,1804
193,HeBwater,95274489,1804
194,Zuzannatuba,95583970,1804
195,AdamHorton,83877945,1803
196,Hivaoa,84521096,1803
197,GBLbeans,91121190,1803
198,NoKiddinG,83986617,1803
199,woowoo01,94077674,1801
200,huihui11150013,94474587,1801
201,werfmark,46907093,1801
202,Nafry,94994113,1800
203,gege3,84981961,1800
204,SickMaster,94340123,1799
205,kolorad,39622187,1799
206,ike shark,85595364,1798
207,JanaiLama,95017290,1797
208,Albertzxc,93704722,1796
209,Fifty_grosz,85665517,1796
210,tobiko11,84390486,1795
211,OscarLeo,92948972,1795
212,Lovelessjkl,94286833,1795
