#,BGA Name,Rating
1,dwarvintime,2151
2,Brian Boitano,2092
3,Nosbig,2091
4,Darcelmaw,2066
5,monkeydo,2030
6,Employee_427,2010
7,JDansp,2008
8,wyz123456,2002
9,isenguard13,2001
10,sorryimlikethis,1982
11,Biubangboom,1976
12,DunDun715,1968
13,Davylong,1967
14,kimssk05,1962
15,Sa-tou,1961
16,M_kk_k,1956
17,MadCassowary,1956
18,BDWSSBB,1956
19,portgard,1953
20,alphabooo,1952
21,CnPlayer,1948
22,Triplepigs,1934
23,ALICE012,1933
24,Tharsis15731,1923
25,SQR_PI,1923
26,withoutx,1919
27,JoeÜbergang,1919
28,danitake,1918
29,hszhangqun,1911
30,neonlight70,1909
31,Lisu192,1908
32,Window114,1907
33,AD1NHO,1906
34,DaZaiErXia,1905
35,asterteam,1904
36,spewishan,1901
37,Doburoi,1901
38,Duci9,1899
39,simmadim,1899
40,hitman333,1899
41,kinkesiman,1899
42,nobody814,1897
43,human_light,1896
44,DaDaDaTou,1895
45,xiaoshagua,1892
46,fuyc,1888
47,edwinma,1886
48,Thornvalley,1884
49,Nuraxxt1ao,1883
50,Flipper007,1880
51,TaterTatCat,1880
52,JJuLL,1879
53,Hank-Man,1879
54,hotaru78,1878
55,Tarrs,1877
56,Golven,1876
57,randomronny974,1876
58,Stan2137,1874
59,Window56,1871
60,chaoji,1871
61,ypz840805,1869
62,deman13,1867
63,yunfeiyang90,1866
64,Enotingyi,1864
65,tiawen,1864
66,AvanNoeL,1863
67,buldozer,1860
68,csong99,1859
69,Melo763,1858
70,ryebone,1858
71,Propaganda Panda,1858
72,werfmark,1856
73,-_______________-,1853
74,rpinheiro,1853
75,AdamHorton,1852
76,Agatebeo,1849
77,ntjj3,1848
78,ghost dad,1848
79,donggone,1844
80,invoke,1844
81,zhang77,1844
82,Qernie,1844
83,sssTea,1842
84,Szymi,1842
85,StromSpirit,1841
86,Faerch,1841
87,fds,1841
88,SunYork,1841
89,SilexSaxum,1840
90,krysakv,1839
91,duyanhcao,1839
92,LDChen3112,1838
93,KFCVME61,1837
94,Preawwy,1836
95,cvv0202,1836
96,Marty7474,1835
97,gamez shuffler,1834
98,adysk,1834
99,Vintessence,1833
100,Shalaby,1833
