#,BGA Name,Rating
1,Bsyragb,2158
2,Darcelmaw,2117
3,JDansp,2057
4,Sanctuary L,2043
5,dwarvintime,2040
6,sorryimlikethis,2036
7,Duci9,2032
8,electrolled,2031
9,nikonikosmile,2028
10,daipengyou,2027
11,nikoniiiii,2027
12,human_light,2012
13,nimoac,2000
14,chun121,1998
15,wanggt,1996
16,Tsong Chen,1991
17,BDWSSBB,1990
18,Brian Boitano,1980
19,duyanhcao,1968
20,rudaZz,1967
21,umegf,1965
22,simmadim,1961
23,asdswsxs,1956
24,Biubangboom,1955
25,lianhaoyu,1953
26,Aluap Tsai,1951
27,seyjen,1948
28,yunge11,1947
29,kanna271828,1947
30,Nemesis_zc,1943
31,Squid2Boogaloo,1942
32,OldOstrich,1939
33,e-p-e,1938
34,Dr4gonWu,1935
35,M_kk_k,1934
36,Laudanova,1932
37,yokiesH,1932
38,hardtounderstand,1924
39,Gamingpine,1924
40,portgard,1922
41,justplaynosay1,1922
42,Doburoi,1917
43,StromSpirit,1916
44,ViciousCyclist,1913
45,lx_xlO--lo_oQl,1911
46,adysk,1911
47,T4NGz,1910
48,chengzi9898,1908
49,Guerilla Gorilla,1907
50,DootGongEnjoyer,1907
51,Zuzannatuba,1905
52,Ritter Karottelot,1904
53,LightPTO,1903
54,AdamHorton,1901
55,Little Black Rabbit,1901
56,Wolf Ren,1901
57,SirL,1900
58,citazn,1899
59,potato mines,1898
60,Joooooshuee,1897
61,oneswordmantis,1896
62,joon0sung,1895
63,yunfeiyang90,1894
64,Szymke,1894
65,PectoralisM,1893
66,ploper155,1893
67,Hongryfox,1891
68,Leon Jing,1891
69,LEOMessY10,1891
70,Enotingyi,1890
71,dmannaioni,1890
72,Kyshantry,1889
73,ss-uuz,1889
74,worldpeaceeeee,1888
75,Linox1206,1887
76,uvw025,1887
77,makamaru,1886
78,ichinoseharu,1883
79,riptorius,1882
80,EEEch0es,1879
81,dreamreader,1878
82,coolsunday,1877
83,ArtEntre,1877
84,SunYork,1875
85,DugongEnjoyer,1875
86,nikozzhw,1874
87,halailai,1873
88,gtq222,1873
89,Nemoses,1872
90,Zheng,1872
91,boomorava,1871
92,ThreadPacifist,1871
93,Bushin malvado,1870
94,bartvk1,1869
95,amitlevi45,1869
96,Davylong,1868
97,Propaganda Panda,1868
98,huanggaoang,1868
99,dongdongz,1866
100,Tharsis15731,1865
