#,BGA Name,Rating
1,JDansp,2039
2,kimssk05,2029
3,nikonikosmile,1991
4,mellonstrawberry,1966
5,BDWSSBB,1964
6,dingga11,1952
7,Biubangboom,1949
8,Dymension,1946
9,Brian Boitano,1942
10,Yorkman1672,1936
11,invoke,1935
12,yeris,1927
13,deman13,1908
14,TiamatUA,1906
15,Ender_Wiggin,1906
16,otapon,1899
17,COOList,1886
18,justlikett,1882
19,gloom and doom,1875
20,matan,1858
21,yunfeiyang90,1857
22,Doburoi,1851
23,so king,1850
24,tidalwave,1850
25,ver99,1849
26,syogun222,1848
27,Sageras0302,1848
28,game1541,1847
29,silentcj,1839
30,flyingmuskrat,1836
31,faihouji,1833
32,bing0924,1828
33,M_kk_k,1826
34,biggetje,1825
35,portgard,1822
36,DH689419,1822
37,jingji007,1816
38,Terrance,1816
39,lanoue01,1814
40,HOONBO,1813
41,speedless liar,1813
42,niente,1812
43,milo324,1809
44,dayfla,1808
45,Kryel,1803
46,BaseSig,1802
47,Lambss,1802
48,gghub,1801
49,isenguard13,1799
50,stmx0v0,1799
51,le_asmo,1798
52,yasuren,1796
53,DengDeng,1792
54,JJome,1791
55,Szymi,1791
56,BunInABox,1790
57,tarzansst,1789
58,ningan,1789
59,Chefnavanfloripa,1785
60,OrionHeart,1784
61,wujinhongtian,1783
62,TheMeepleMaven,1782
63,huangerkai,1780
64,UBDS3019,1780
65,Kyshantry,1780
66,AvanNoeL,1778
67,Der_Maister,1778
68,CrazyPenguinGUAN,1778
69,735291378,1777
70,Robin,1774
71,snotrabjorn,1772
72,Rust Li,1770
73,tiawen,1770
74,Gochitaro,1769
75,Epokepik,1768
76,Qernie,1768
77,box722,1767
78,MrMB,1766
79,Acerbic,1764
80,dongdongz,1762
81,fds,1762
82,rune_2002,1761
83,kwarg,1761
84,chouman1986,1759
85,choifah,1759
86,2021ivan,1759
87,zakoko,1758
88,K uro,1758
89,tambaqui,1757
90,TheodoreB,1756
91,kevin5208df129494073,1754
92,warandhope,1753
93,wyz123456,1753
94,Bin1010,1752
95,xuiofundo,1752
96,lha123com,1751
97,Arbitr2,1751
98,ShionjiMura,1750
99,Yideng,1750
100,tedshot,1746
