#,BGA Name,Rating
1,heris89647,2149
2,JDansp,2076
3,duyanhcao,2070
4,DugongEnjoyer,2064
5,monkeydo,2050
6,BlanketAddict,2044
7,tobiko11,2040
8,Helbiii,2037
9,Darcelmaw,2033
10,Aluap Tsai,2032
11,What How,2026
12,LEOMessY10,2026
13,Sa-tou,2020
14,Sanctuary L,2018
15,makamaru,2007
16,Tsong Chen,2002
17,thumbean,2000
18,dwarvintime,1999
19,Fifty_grosz,1997
20,Snowyowl Tale,1992
21,sorryimlikethis,1991
22,skälding,1984
23,esddse1,1980
24,nj48,1979
25,Propaganda Panda,1972
26,lukeaura,1968
27,im only luck,1965
28,Gloriousbui,1964
29,JoeÜbergang,1963
30,dreamerkjh,1954
31,zhuozhuoqihua,1950
32,LDDDDDD,1949
33,M_kk_k,1949
34,Knight of Aya,1947
35,ryanechternacht,1940
36,Zoo1010,1940
37,auuu12,1937
38,Zuzannatuba,1936
39,HighwayGoGo,1935
40,Stan2137,1935
41,hinekoko,1934
42,AKNovaYYDS,1933
43,rudaZz,1931
44,daipengyou,1930
45,boomorava,1929
46,hardtounderstand,1928
47,ooltje,1928
48,extrazen,1927
49,adysk,1925
50,yunfeiyang90,1924
51,Faerch,1924
52,isenguard13,1921
53,nimoac,1920
54,jst526,1919
55,v6getab1e,1918
56,bsyraB,1915
57,CCU1211,1915
58,NowSituationChanged,1915
59,2win9,1914
60,Braid46,1913
61,Abiath,1912
62,jackochow,1911
63,Break5,1911
64,douganjin,1906
65,Blyb,1906
66,human_light,1906
67,lolgozer,1906
68,Cheese - 4000,1905
69,Bi6H01E,1905
70,ujhns,1905
71,stanley654321,1903
72,zhpls,1903
73,starkrush,1902
74,traine3g,1900
75,Willjo22,1900
76,strange radish,1900
77,net395,1900
78,Hisbe4948,1900
79,SQR_PI,1899
80,ScientistOmni,1899
81,wanggt,1898
82,The constant,1898
83,e-p-e,1898
84,Zeuthis,1897
85,Racer31,1897
86,bilibalaboom,1897
87,Andrewsmile,1897
88,RobinGuk,1896
89,YouYu_Ye,1896
90,yakku99,1895
91,chengzi9898,1895
92,quh683,1895
93,stofflappen,1894
94,portgard,1894
95,one_more_try_plees,1894
96,none404,1894
97,Yohan06,1893
98,Valscor,1891
99,Monkey Gang Rise Up,1890
100,Fool Klein,1890
