#,BGA Name,Rating
1,Tsong Chen,2144
2,dwarvintime,2070
3,LeovoeL,2055
4,Propaganda Panda,2037
5,Brian Boitano,2032
6,TonyBegonia,2028
7,nimoac,2026
8,JDansp,2025
9,lx_xlO--lo_oQl,2021
10,Darcelmaw,2019
11,Biubangboom,2013
12,duyanhcao,2004
13,simmadim,2004
14,ALICE012,2003
15,kimssk05,1993
16,electrolled,1992
17,BDWSSBB,1992
18,Window56,1986
19,monkeydo,1981
20,M_kk_k,1980
21,sorryimlikethis,1978
22,portgard,1965
23,human_light,1962
24,TiamatUA,1959
25,JoeÜbergang,1954
26,Duci9,1951
27,fuyc,1949
28,Faerch,1945
29,AD1NHO,1940
30,ypz840805,1939
31,onedaytour,1938
32,-_______________-,1937
33,gege2,1932
34,BlanketAddict,1924
35,hardtounderstand,1919
36,LoonyNo7,1916
37,invoke,1913
38,Kunizial,1910
39,yunge11,1909
40,ss-uuz,1909
41,quairak,1907
42,lalalawliet,1907
43,BraveLove,1905
44,Enotingyi,1902
45,EEEch0es,1899
46,Triplepigs,1898
47,Tharsis15731,1898
48,Dymension,1898
49,UziQAQ,1894
50,LEOMessY10,1893
51,SQR_PI,1893
52,MadCassowary,1893
53,Laudanova,1892
54,tamesizeya,1890
55,FalconPunch511,1888
56,CnPlayer,1885
57,Employee_427,1884
58,oneswordmantis,1883
59,Gloriousbui,1883
60,neonlight07,1881
61,TrafalLee,1881
62,ghost dad,1881
63,giraffe_hannah,1880
64,yunfeiyang90,1879
65,cloney,1878
66,yokiesH,1877
67,rockstar18,1875
68,Please_No_Injury,1874
69,Sa-tou,1871
70,answerQAQ,1871
71,Yorshka_02,1871
72,NoFry,1871
73,ryou-chan,1870
74,ylathor,1870
75,Zeuthis,1870
76,nobody814,1867
77,rune_2002,1867
78,lidamiao2,1867
79,beepzop,1867
80,Preawwy,1867
81,2win9,1864
82,StromSpirit,1864
83,gugu764835421,1864
84,yuigahama1997,1863
85,OldOstrich,1863
86,youl07,1863
87,riptorius,1862
88,COOList,1861
89,Lisu192,1861
90,chuanliu,1858
91,randale_und_hurra,1857
92,adysk,1855
93,umegf,1854
94,coolsunday,1854
95,BStroucken,1854
96,Bin1010,1853
97,Davylong,1853
98,pjtseng,1853
99,Melo763,1853
100,SunYork,1852
