#,BGA Name,Rating
1,What How,2208
2,duyanhcao,2106
3,Chen233,2106
4,LXYR,2102
5,t3734920,2099
6,Window56,2096
7,Vespera77,2086
8,sorryimlikethis,2079
9,human_light,2079
10,fqk003,2065
11,JDansp,2052
12,fgffsgs,2051
13,electrolled,2044
14,Helbiii,2039
15,extrazen,2037
16,MlNG,2028
17,hardtounderstand,2026
18,Duci9,2022
19,koishi1245,2020
20,ViciousCyclist,2018
21,The constant,2005
22,Snowyowl Tale,2004
23,MortisVD,2003
24,traine3g,2001
25,kakaoshkin,2000
26,Sa-tou,1999
27,ceobo,1996
28,AKNovaYYDS,1992
29,QBert,1983
30,MYGO SOYO,1981
31,cheiru,1981
32,portgard,1980
33,derekhuo,1979
34,Propaganda Panda,1978
35,MonkeyinAround,1972
36,murong-xue,1972
37,CXWFractalux,1971
38,Faerch,1967
39,qizixi123,1966
40,vuk246,1965
41,QuantumEagle,1964
42,Sunny369,1964
43,nifty-clownfish181,1962
44,Chewwy,1960
45,fished my wish,1957
46,vinny_boy,1953
47,perrylin,1950
48,Koudee,1949
49,Pelirrojo1711,1947
50,serpentinite,1947
51,saninecat,1947
52,bwj059,1947
53,ceejaex,1946
54,sea turtle tank,1946
55,deeezz,1946
56,Targetttt,1946
57,uff571,1945
58,kamikakai,1944
59,CCU1211,1939
60,Lucas-Tariq,1939
61,ice wizard,1939
62,HappyChild,1938
63,gh1101,1937
64,totally_not_dave,1937
65,SunbathingEmu,1936
66,SilkyTrealawson,1934
67,yz97,1931
68,zhpls,1931
69,BlanketAddict,1928
70,653862455,1927
71,day001,1926
72,Grahamtasia,1925
73,ysl0310,1924
74,eager-panda583,1924
75,Annabellla,1923
76,New Zealand fur seal,1923
77,AtarUltio,1922
78,Gordon10,1922
79,SnubEnjoyer,1921
80,BaseSig,1921
81,coolsunday,1921
82,jingji007,1921
83,Cat_Food,1920
84,skälding,1920
85,Yohan06,1919
86,brewmaster12,1919
87,Fifty_grosz,1919
88,shakers,1919
89,Just_one_time,1918
90,emu456,1917
91,komono_425,1917
92,HLE Gumayusi,1917
93,general_panda,1916
94,stanley654321,1916
95,Superjulo,1915
96,BraveCat123,1915
97,IanaPiana,1915
98,vesper-,1915
99,zaky26,1914
100,EvoIuti0n,1913
