#,BGA Name,Rating
1,BDWSSBB,2172
2,dwarvintime,2092
3,sorryimlikethis,2065
4,Snowyowl Tale,2055
5,Triplepigs,2032
6,pppppdian,2024
7,JDansp,2018
8,Propaganda Panda,2012
9,portgard,2012
10,trinity111,2010
11,simmadim,2000
12,DaZaiErXia,1992
13,Tsong Chen,1992
14,pkding,1987
15,nikonikosmile,1985
16,justidling,1984
17,Aluap Tsai,1977
18,skälding,1974
19,SilexSaxum,1972
20,hardtounderstand,1971
21,Tharsis15731,1969
22,Chen233,1967
23,Leon Jing,1962
24,Doburoi,1961
25,rudaZz,1960
26,makamaru,1958
27,day001,1955
28,Wakaba Mutsumi,1954
29,2win9,1953
30,demyurge,1952
31,Duci9,1951
32,DugongEnjoyer,1949
33,rockstar18,1948
34,randale_und_hurra,1948
35,Faerch,1947
36,Hektorynka,1944
37,dmannaioni,1941
38,wrdvdd,1939
39,duyanhcao,1938
40,tobiko11,1938
41,TiamatUA,1935
42,Yohan06,1931
43,yunfeiyang90,1929
44,Gloriousbui,1929
45,Johnsoncccc,1928
46,auznjx,1927
47,gamez shuffler,1926
48,Helbiii,1925
49,watermelon5730,1924
50,BaseSig,1924
51,Rust_,1924
52,M_kk_k,1922
53,isenguard13,1921
54,PotatCat,1920
55,derekhuo,1916
56,nimoac,1916
57,COOList,1915
58,-_______________-,1911
59,nikoniiiii,1911
60,T4R4K0,1910
61,daipengyou,1910
62,sdasfasfgag,1910
63,tianmingv,1907
64,coolsunday,1907
65,malisimo,1906
66,XDXD233,1905
67,yokiesH,1905
68,umegf,1902
69,worldpeaceeeee,1902
70,Marcaux,1900
71,hancci,1899
72,Adkhi,1898
73,Nemoses,1896
74,vasynyt banaani,1895
75,ss-uuz,1895
76,HighwayGoGo,1895
77,esddse1,1891
78,1998KR2019IAN,1890
79,chengzi9898,1890
80,Darcelmaw,1888
81,Fifty_grosz,1888
82,BlanketAddict,1887
83,traine3g,1887
84,5Dragons,1886
85,csong99,1886
86,TonyBegonia,1886
87,Merlinjz,1884
88,ViciousCyclist,1884
89,n2309,1884
90,RobinGuk,1883
91,wanwan7,1882
92,none404,1880
93,sharonSS,1880
94,Borden66,1879
95,Zeuthis,1878
96,jackochow,1878
97,Hivaoa,1878
98,zuoym,1877
99,hj1025,1877
100,AloneInTheRain,1877
