#,BGA Name,ID,Rating
1,heris89647,96208633,2149
2,JDansp,94308984,2076
3,duyanhcao,82653384,2070
4,DugongEnjoyer,95424407,2064
5,monkeydo,93896193,2050
6,BlanketAddict,90278947,2044
7,tobiko11,84390486,2040
8,Helbiii,90097742,2037
9,Darcelmaw,93481498,2033
10,Aluap Tsai,95130340,2032
11,What How,97462972,2026
12,LEOMessY10,95451879,2026
13,Sa-tou,91540369,2020
14,Sanctuary L,92928466,2018
15,makamaru,84320942,2007
16,Tsong Chen,94423370,2002
17,thumbean,91304283,2000
18,dwarvintime,94276826,1999
19,Fifty_grosz,85665517,1997
20,Snowyowl Tale,96392781,1992
21,sorryimlikethis,86346298,1991
22,skälding,94401618,1984
23,esddse1,96046666,1980
24,nj48,92750059,1979
25,Propaganda Panda,94936862,1972
26,lukeaura,97171501,1968
27,im only luck,97387436,1965
28,Gloriousbui,86523041,1964
29,JoeÜbergang,86370496,1963
30,dreamerkjh,93694645,1954
31,zhuozhuoqihua,96326965,1950
32,LDDDDDD,94343654,1949
33,M_kk_k,93584459,1949
34,Knight of Aya,95849090,1947
35,ryanechternacht,86046658,1940
36,Zoo1010,97004524,1940
37,auuu12,96565150,1937
38,Zuzannatuba,95583970,1936
39,HighwayGoGo,94565796,1935
40,Stan2137,89587860,1935
41,hinekoko,93813549,1934
42,AKNovaYYDS,96536721,1933
43,rudaZz,94569606,1931
44,daipengyou,84382806,1930
45,boomorava,94667924,1929
46,hardtounderstand,95740428,1928
47,ooltje,88803089,1928
48,extrazen,95137016,1927
49,adysk,84503166,1925
50,yunfeiyang90,92674329,1924
51,Faerch,92121387,1924
52,isenguard13,93310826,1921
53,nimoac,84658502,1920
54,jst526,89805652,1919
55,v6getab1e,95689571,1918
56,bsyraB,97130813,1915
57,CCU1211,97058663,1915
58,NowSituationChanged,96406220,1915
59,2win9,94328850,1914
60,Braid46,96408344,1913
61,Abiath,95350940,1912
62,jackochow,96364530,1911
63,Break5,97005969,1911
64,douganjin,95158777,1906
65,Blyb,93875195,1906
66,human_light,92255273,1906
67,lolgozer,93889313,1906
68,Cheese - 4000,90719758,1905
69,Bi6H01E,96444520,1905
70,ujhns,94037448,1905
71,stanley654321,84030537,1903
72,zhpls,90738010,1903
73,starkrush,90435237,1902
74,traine3g,95459839,1900
75,Willjo22,88982662,1900
76,strange radish,92879266,1900
77,net395,96360878,1900
78,Hisbe4948,89578751,1900
79,SQR_PI,94409075,1899
80,ScientistOmni,90480114,1899
81,wanggt,94206331,1898
82,The constant,96836394,1898
83,e-p-e,93935990,1898
84,Zeuthis,93171016,1897
85,Racer31,95018246,1897
86,bilibalaboom,91795917,1897
87,Andrewsmile,86610938,1897
88,RobinGuk,92499328,1896
89,YouYu_Ye,92683390,1896
90,yakku99,95727905,1895
91,chengzi9898,95625344,1895
92,quh683,97328570,1895
93,stofflappen,95173563,1894
94,portgard,83927465,1894
95,one_more_try_plees,95887845,1894
96,none404,95722729,1894
97,Yohan06,91158844,1893
98,Valscor,93980894,1891
99,Monkey Gang Rise Up,97095508,1890
100,Fool Klein,92425274,1890
101,uuop0212,96890267,1889
102,Hektorynka,94356861,1888
103,Kaite1028,94665533,1888
104,Window114,94851126,1888
105,chuanliu,95349251,1887
106,Lampler,94331264,1887
107,Tabouret2,90346973,1887
108,Laudanova,94430947,1886
109,TTP_,96768204,1886
110,GiiNN,92487233,1885
111,little butter fly,96727455,1884
112,TonyBegonia,91640596,1884
113,margin,84635265,1881
114,PectoralisM,95546867,1880
115,MonkeyinAround,96964879,1880
116,yzxcc,97602180,1880
117,nikonikosmile,93049325,1879
118,Echo_m,93827347,1878
119,kah778,96161131,1878
120,ChrisTao_0,94535476,1878
121,ahonyek,84789791,1877
122,boardgamedude2,94420091,1877
123,csong99,94065245,1877
124,ccc412,92898160,1877
