#,BGA Name,ID,Rating
1,broken-winged angel,98093339,2188
2,CXWFractalux,98091092,2093
3,extrazen,95137016,2076
4,gryteklut,98459851,2063
5,sorryimlikethis,86346298,2060
6,ah_lcg,97616549,2039
7,Fool Klein,92425274,2038
8,monkeydo,93896193,2035
9,DugongEnjoyer,95424407,2033
10,The cat fish,97180419,2022
11,Iris_catf,96405064,2019
12,Abiath,95350940,2015
13,LasagnaEater,98317590,2015
14,im only luck,97387436,2014
15,What How,97462972,2010
16,riptorius,93293963,2009
17,electrolled,95115352,2008
18,Baboude,91196162,2007
19,New Zealand fur seal,97784313,2006
20,Kawasaki2933,97517850,2005
21,Wakaba Mutsumi,96569489,2004
22,JDansp,94308984,2001
23,vardy7,96701828,2001
24,duyanhcao,82653384,2000
25,HZLsDaddy,96708592,2000
26,changpei98,97153653,1989
27,general_panda,92073775,1989
28,Pengxiangoumian,96283195,1982
29,emu456,97601075,1975
30,one_more_try_plees,95887845,1968
31,lanshalu,96379402,1964
32,werfmark,46907093,1961
33,l t y,94064771,1961
34,hazerrs,97546886,1961
35,wcy710,91694654,1956
36,traine3g,95459839,1954
37,Duci9,94929538,1953
38,ViciousCyclist,89020074,1953
39,randale_und_hurra,92600865,1953
40,Midashood,95608713,1953
41,SilexSaxum,88730461,1952
42,Zuzannatuba,95583970,1952
43,howwow90,85948758,1951
44,Agonizon,94604354,1951
45,GenAaro,93702040,1950
46,Tsong Chen,94423370,1950
47,wenzhizhi,97799596,1950
48,ComplexMuffin,85854492,1947
49,Just_one_time,97603160,1947
50,zhpls,90738010,1946
51,Xuan-li,97837886,1945
52,The constant,96836394,1944
53,yakku99,95727905,1943
54,applezhuzhu,98281579,1941
55,hardtounderstand,95740428,1940
56,nehzumi,96062601,1939
57,skälding,94401618,1938
58,Window56,94675560,1937
59,watermelon5730,96094578,1937
60,vibrant99,98278472,1936
61,vesper-,98026638,1935
62,McRolando,95736503,1934
63,Moc king Jay,93733630,1933
64,SYSXD,84197450,1933
65,QBert,2658233,1933
66,Rock_P,92912883,1933
67,pppppdian,90883583,1932
68,fuyc,94109191,1928
69,Mondaycold,93198466,1927
70,Cat_Food,94391749,1927
71,IanaPiana,95144027,1926
72,Sir Humphrey Appleby,98172068,1925
73,Ghost____9527,95989081,1925
74,Target star,95331673,1924
75,MlNG,86727668,1922
76,Faerch,92121387,1920
77,nengbengbear,94534456,1920
