#,BGA Name,ID,Rating
1,SakuraEcho,97645356,2147
2,Rock_P,92912883,2144
3,monkeydo,93896193,2112
4,JDansp,94308984,2085
5,What How,97462972,2082
6,hardtounderstand,95740428,2059
7,Milowitt,96135209,2053
8,XuXuXuXuXuXu,97645115,2049
9,tobiko11,84390486,2030
10,Yutenji Nyamu,97417984,2029
11,vz1h7owsuh,95957832,2026
12,yvguef36oqct,97828896,2025
13,ah_lcg,97616549,2023
14,emu456,97601075,2015
15,QuantumEagle,97745256,2015
16,Kawasaki2933,97517850,2014
17,Neil003,97601822,2010
18,nimoac,84658502,2008
19,auuu12,96565150,2006
20,sorryimlikethis,86346298,2003
21,lbyw3,97446482,2003
22,perrylin,95602651,2003
23,fished my wish,97645154,2002
24,wtkms,97598080,1999
25,Target star,95331673,1986
26,Chen233,89148114,1986
27,QBert,2658233,1980
28,CN_Azul,91718783,1980
29,Tsong Chen,94423370,1979
30,Midashood,95608713,1977
31,Faerch,92121387,1977
32,Mondaycold,93198466,1976
33,The cat fish,97180419,1976
34,jackochow,96364530,1975
35,hazerrs,97546886,1971
36,HZLSSB,97803205,1967
37,pinkex239,95085497,1964
38,svs149,95663247,1963
39,yakku99,95727905,1962
40,Rymor27,95151558,1958
41,Duci9,94929538,1956
42,Window56,94675560,1951
43,Employee_427,94319519,1951
44,zombira,97487622,1949
45,stanley654321,84030537,1948
46,Chan sey,94773986,1948
47,duyanhcao,82653384,1947
48,hoodmidas,96505175,1947
49,Sh1norina,97719316,1945
50,ice wizard,91882672,1942
51,SirL,87238474,1941
52,Helbiii,90097742,1940
53,pppppdian,90883583,1939
54,zhpls,90738010,1935
55,Christ Surprised,96227549,1933
56,traine3g,95459839,1932
57,The Aristocrat,85027110,1930
58,BS_,94623704,1929
59,lanlanwww,96669088,1927
60,esddse1,96046666,1927
61,wangdaishu,96870803,1925
62,Aluap Tsai,95130340,1925
63,icefacez,95424534,1924
64,rockstar18,95285472,1924
65,2win9,94328850,1923
66,Zherak,84875336,1923
67,Zuzannatuba,95583970,1922
68,Zheng,30574650,1921
69,Rincewind820,94403316,1918
70,ooltje,88803089,1917
71,chengzi9898,95625344,1917
72,portgard,83927465,1914
73,Fool Klein,92425274,1914
74,Druen88,91111167,1914
75,Hivaoa,84521096,1912
76,tbu3k,93311473,1911
77,Luciddream08,94532497,1911
78,Kharghurzarek,97144427,1911
79,Snowyowl Tale,96392781,1909
80,Targetttt,95030461,1909
81,greedisgood000,97140944,1908
82,Just_one_time,97603160,1908
83,human_light,92255273,1907
84,tjh23,94970791,1904
85,Teh_Zealot,84017922,1904
86,Midaaaas,96932679,1904
87,worldpeaceeeee,94619221,1904
88,just_again,97861655,1903
89,extrazen,95137016,1902
90,umegf,84727173,1902
91,pate de lo,94901382,1902
92,Rease942,97802070,1901
93,DaZaiErXia,91315943,1900
94,buldozer,85270584,1900
95,changpei98,97153653,1899
96,oli35,72618899,1899
97,JinnyF,95661267,1899
98,HotsauceWally,84773109,1899
99,Earl the pearl,97047673,1897
100,MonkeyinAround,96964879,1897
101,McRolando,95736503,1897
102,boardgamedude2,94420091,1896
103,yya927,95161897,1895
104,wenzhizhi,97799596,1893
105,Angry_SSu,93750298,1892
106,JoeÜbergang,86370496,1892
107,kaldarr,85214664,1890
108,lidamiao2,95082163,1887
109,NowSituationChanged,96406220,1887
110,Cheese - 4000,90719758,1886
111,coolsunday,84864189,1885
112,makamaru,84320942,1885
113,im only luck,97387436,1882
114,werfmark,46907093,1881
115,IanaPiana,95144027,1881
116,babouche_babouche,97243337,1881
117,Sir Fluffy,86344862,1881
118,wuxuanwuyan,93308326,1880
119,Sasheme,94937683,1879
120,mushui19,96556648,1879
121,zealotcharged,84763333,1877
122,Koudee,84640241,1877
123,songdeze,96566015,1876
124,Ghost____9527,95989081,1875
125,bgtrainer,95397753,1874
126,axb980,96950023,1874
127,Sidouro,96200493,1874
128,leaf_PKU,96409949,1873
129,HZLsDaddy,96708592,1872
130,Lucasbiao,96656609,1872
131,JoonPown,94391464,1872
132,robgeibel,96133931,1872
133,sroconno,96754790,1872
134,SilexSaxum,88730461,1870
135,LorraineRC,88707360,1870
136,brewmaster12,89599421,1868
137,zenkyleD,84321999,1868
138,Newcore,97672166,1867
139,print_helloworld,97238324,1867
140,demyurge,84428955,1866
141,AWu,83864699,1865
142,biekaw,97076203,1865
143,jhuano,95591308,1865
144,kathy27665,95912613,1865
145,681w,96715752,1865
146,ScientistOmni,90480114,1863
147,blueboat9,92440453,1861
148,show maaker,95192255,1861
149,GallifreyFall,94401949,1860
150,Soulless Robot,95377405,1860
151,margin,84635265,1860
152,unz480,97422525,1859
153,Pelirrojo1711,92166550,1858
154,Wolf Ren,92800174,1858
155,eatbamboo,97776633,1857
156,shengxiao,95453044,1856
157,Sash_L,84249520,1856
158,rudaZz,94569606,1856
159,EEEch0es,94773861,1856
160,Pippocampus,96607599,1856
161,PPPPPPayne,97338076,1853
162,yunfeiyang90,92674329,1852
163,AdamHorton,83877945,1852
164,HighwayGoGo,94565796,1852
165,sxnt,96325355,1851
166,Lampler,94331264,1850
167,Ilyas_aut33,93004469,1849
168,ngtriant,88282419,1848
169,Footloop,90899183,1848
170,Ttssp,96633791,1848
171,democracy8741,95603279,1848
172,filip1a,91966450,1848
173,1211358275-zebra,97615030,1846
174,Ghost8472,94119769,1845
175,Jovat,92373009,1845
176,l t y,94064771,1844
177,Lichen4anke,95676183,1844
178,Star_Mao,84425242,1844
179,DawnWhisper,92383957,1844
180,jhzm,94579225,1844
181,Hisbe4948,89578751,1843
182,ComplexMuffin,85854492,1843
183,labrosafas,93522154,1843
184,fengye555,95758486,1843
185,motimoo,95525103,1842
186,bsyraB,97130813,1842
187,gh1101,95458811,1841
188,GenAaro,93702040,1841
189,stc12250715,84304883,1840
190,fgffsgs,92566177,1840
191,lamawurm,95860033,1840
192,beepzop,88424815,1839
193,ceejaex,87105665,1839
194,XDXD233,85172205,1838
195,MyAsylum-_,97925621,1838
196,le_asmo,91930865,1838
197,Abiath,95350940,1837
198,hughieg1230,92970688,1837
199,earth catapuly,93946291,1837
200,TalentedOwl,97258339,1836
201,yayboardgames,83894592,1836
202,so0nii,94226590,1835
203,HappyClam73,96071015,1835
204,Andrewsmile,86610938,1835
205,one_more_try_plees,95887845,1835
206,karleasdnaskjd,96975084,1834
207,Grand_Blue_Lore,96732187,1834
208,Khrikuli Is Robbed,97861035,1834
209,kongbaolong_gua,94761147,1834
210,yiqiesuiyila,43502389,1834
211,Kyshantry,84033406,1833
212,AKNovaYYDS,96536721,1833
213,yazavats,93165237,1832
214,MasN,84122544,1832
215,vnd065,97592869,1832
216,wumian233,96160748,1831
217,New Zealand fur seal,97784313,1831
218,PirateDoDo,97122962,1831
219,GBLbeans,91121190,1830
220,MrYama,95308303,1830
221,nengbengbear,94534456,1830
222,slamsk,3314436,1829
223,Propaganda Panda,94936862,1829
224,007Br,90161849,1827
225,nohye68,85120095,1827
226,general_panda,92073775,1826
227,KORBOARDF,96730871,1826
228,AiMisteria,97380173,1825
229,Borden66,94604358,1825
230,isenguard13,93310826,1824
231,shagen,88490540,1824
232,zhuozhuoqihua,96326965,1824
233,3nat,96326862,1824
234,SunYork,89979818,1823
235,Wysnard,88746052,1823
236,msinohdd,97620751,1823
237,Awaker3,96422690,1822
238,The One Ring,97687114,1822
239,Midashoood,96865593,1821
240,hipalmer,92971061,1821
241,JMatt_,96090096,1820
242,HappyChild,96390330,1820
243,ViciousCyclist,89020074,1820
244,Paraplegic Otter,88638129,1820
245,Hidolala,94976168,1819
246,wcy710,91694654,1819
247,waytim,68923869,1818
248,jdmonn,95224489,1818
249,mj256,95301670,1818
250,RobinGuk,92499328,1818
251,Ciskesa,97072609,1817
252,vuk246,97335860,1817
253,ARK0321,95733960,1817
254,Leleland,95881581,1815
255,qoq603,97111361,1814
256,BakaNine,92588696,1814
257,Tharsis15731,94796767,1814
258,ykakai,98001580,1814
259,Gunor,96919064,1813
260,Baboude,91196162,1813
261,Moc king Jay,93733630,1813
262,shakers,93503297,1812
263,Mrqiu,84644105,1812
264,kozaza,95289690,1812
265,SirDragos,96002757,1812
266,nikozzhw,95277568,1811
267,Iris_catf,96405064,1811
268,tmkk,96613779,1810
269,mrcsingiling,96556481,1810
270,zhengyixianyu,95430601,1810
271,bgz544,96161121,1810
272,itskins,94095093,1809
273,Agonizon,94604354,1809
274,skälding,94401618,1809
275,Dizzja,89938180,1809
276,Pinecone222,84341816,1809
277,Incognitoh,87442869,1809
278,GiiNN,92487233,1809
279,amelia0109,94778067,1808
280,BGFact,98049794,1808
281,jimmygoodman,94562096,1808
282,cko540,97650628,1807
283,woodenbox,92893596,1807
284,CrazyPenguinGUAN,93563465,1807
285,dl0v0lb,94984984,1806
286,gyzhyqw,95072941,1806
287,M a s q u e r a d e,96360250,1806
288,wjzjason,97205076,1805
289,077cpw,97177585,1805
290,watermelon5730,96094578,1805
291,wufengyuluo,93284227,1805
292,ArkLover,94358443,1805
293,iloveakari,97891030,1805
294,Last Pride,94370035,1805
295,Renan112,95881415,1804
296,allanbc,96625470,1804
297,boardgamecafeone,92352931,1804
298,Doma12345,88729410,1804
299,explosion kitten,97542305,1804
300,TopTierReindeer,88288744,1803
301,Ohrmazd,97178519,1803
302,Tarrs,94786622,1803
303,Aggelito,95585274,1803
304,waytim999,97664606,1803
305,nirwan,86011752,1802
306,JanaiLama,95017290,1802
307,stofflappen,95173563,1801
308,Echo_m,93827347,1801
309,zzw89,94376267,1801
310,MysticNeb,88741099,1800
311,liyi123,93207208,1800
312,Leemzz,90596488,1800
313,szddg,95203686,1800
314,modest-seal664,97794883,1799
315,Sicario9527,92350084,1799
316,erico0205,95902801,1799
317,Lixdark,94711439,1798
318,Doburoi,84038972,1798
319,Zach_boar,97182345,1798
320,Grianos,96788517,1798
321,LXYR,96155907,1797
322,BaseSig,3936472,1797
323,ss-uuz,94441741,1797
324,Krovax27,84773688,1797
325,bigfish_yyy,95684653,1797
326,sixriver1,95086205,1797
327,bodeer,94291652,1797
328,kalipolis,93213835,1797
329,yunge11,94315627,1797
330,xxnm,94540253,1797
331,TomdevBE,92134536,1797
332,SaiG0D,84746846,1797
333,LeeCloud,88351661,1796
334,tpn021,97988278,1796
335,alanndlr,96326900,1796
336,termis,95166299,1795
337,Kawnstie,95032053,1795
338,Sigmar Gabriel,95749984,1794
339,hollow7777,94847227,1794
340,Golven,87614886,1794
341,Pawn38,83919620,1793
342,T Street,93256427,1793
343,NeighborPeterParker,97664557,1793
344,TimTen,97773946,1793
345,Nuraxxt1ao,95222006,1792
346,parrotlover,97843327,1792
347,Long0103,92102371,1792
348,pepealas,94382995,1792
349,forist,93536913,1791
350,lidamiao,94351981,1791
351,EasyGoGetter,97861676,1791
352,RavenDavy,92320931,1791
353,Nicolas21,84311582,1790
354,kingofloons,85230147,1790
355,Kagura112,92096970,1790
356,bangerang01,95634607,1789
357,Leon Jing,95678978,1789
358,YouYu_Ye,92683390,1789
359,AlternateMuffin,91258390,1789
360,quickskillscarlos,95690096,1789
361,1998KR2019IAN,91110025,1789
362,aveydavey,96591515,1789
363,ArkNovaKing,97575687,1789
364,KFCVME94,96149566,1789
365,justplaynosay1,93937213,1788
366,sushimekabu1,97555423,1788
367,halabalala,84073519,1787
368,meiyounicheng123,94585687,1787
369,jjmmjjmm,93010369,1787
370,Dawn Whisper,93467783,1787
371,Artisary,95036182,1786
372,KaeptnZurSee,89972532,1786
373,strong egg,97417621,1786
374,yz97,94020257,1785
375,Wardener,95364900,1785
376,alunhuang,94187459,1785
377,SS-uu,96690695,1785
378,Banana__Fish,95558196,1785
379,Hitman 47,95535212,1785
380,Hakunnnnn,96580240,1784
381,OnlyBirds,96249741,1784
382,gamez shuffler,90749143,1783
383,Dagstaff,94134337,1783
384,hsdeluxe,22632910,1783
385,Cheetos4in1,94233740,1783
386,Dubbbb,95081305,1783
387,xbyy,96275316,1783
388,FGXKK,94604527,1783
389,TonyBegonia,91640596,1783
390,nrf901,97810769,1782
391,zxjiang,97262160,1782
392,Alkene222,96051397,1781
393,tehimmortalking,94805538,1780
394,UpperDecker,39460297,1780
