#,BGA Name,ID,Rating
1,JDansp,94308984,2039
2,kimssk05,88340590,2029
3,nikonikosmile,93049325,1991
4,mellonstrawberry,92561690,1966
5,BDWSSBB,93599262,1964
6,dingga11,94068967,1952
7,Biubangboom,93368684,1949
8,Dymension,84563034,1946
9,Brian Boitano,94409684,1942
10,Yorkman1672,84289404,1936
11,invoke,84062956,1935
12,yeris,84190319,1927
13,deman13,92420655,1908
14,TiamatUA,84277005,1906
15,Ender_Wiggin,84970356,1906
16,otapon,85218416,1899
17,COOList,85288480,1886
18,justlikett,84373025,1882
19,gloom and doom,93495740,1875
20,matan,85243514,1858
21,yunfeiyang90,92674329,1857
22,Doburoi,84038972,1851
23,so king,94310784,1850
24,tidalwave,84819999,1850
25,ver99,92301335,1849
26,syogun222,86695006,1848
27,Sageras0302,93672995,1848
28,game1541,94290746,1847
29,silentcj,83889975,1839
30,flyingmuskrat,86237008,1836
31,faihouji,84446782,1833
32,bing0924,91322241,1828
33,M_kk_k,93584459,1826
34,biggetje,83994342,1825
35,portgard,83927465,1822
36,DH689419,94380334,1822
37,jingji007,94306177,1816
38,Terrance,15860643,1816
39,lanoue01,94115147,1814
40,HOONBO,94166134,1813
41,speedless liar,92324346,1813
42,niente,83905924,1812
43,milo324,93328793,1809
44,dayfla,90753401,1808
45,Kryel,84473114,1803
46,BaseSig,3936472,1802
47,Lambss,89240261,1802
48,gghub,83846305,1801
49,isenguard13,93310826,1799
50,stmx0v0,91180322,1799
51,le_asmo,91930865,1798
52,yasuren,91031889,1796
53,DengDeng,11732610,1792
54,JJome,91446147,1791
55,Szymi,84979313,1791
56,BunInABox,89909266,1790
57,tarzansst,92169780,1789
58,ningan,94256160,1789
59,Chefnavanfloripa,85385162,1785
60,OrionHeart,86733430,1784
61,wujinhongtian,87116913,1783
62,TheMeepleMaven,86115654,1782
63,huangerkai,93109570,1780
64,UBDS3019,94337444,1780
65,Kyshantry,84033406,1780
66,AvanNoeL,94363417,1778
67,Der_Maister,85968136,1778
68,CrazyPenguinGUAN,93563465,1778
69,735291378,85169227,1777
70,Robin,83991513,1774
71,snotrabjorn,84231051,1772
72,Rust Li,93569000,1770
73,tiawen,91419235,1770
74,Gochitaro,94294777,1769
75,Epokepik,86921913,1768
76,Qernie,87128662,1768
77,box722,93473761,1767
78,MrMB,84379094,1766
79,Acerbic,83851681,1764
80,dongdongz,93101083,1762
81,fds,83870538,1762
82,rune_2002,84575319,1761
83,kwarg,94129696,1761
84,chouman1986,87385179,1759
85,choifah,94102744,1759
86,2021ivan,89916269,1759
87,zakoko,91786129,1758
88,K uro,85081375,1758
89,tambaqui,94308636,1757
90,TheodoreB,89382694,1756
91,kevin5208df129494073,90680370,1754
92,warandhope,92330876,1753
93,wyz123456,91005094,1753
94,Bin1010,92157988,1752
95,xuiofundo,90722133,1752
